Author,Source,Review
Hpatiluk,Official site,"Generally I never review however here would like to congratulate the #Ultrahuman team for this app and insight on health management. Rated 5 star as everything is awesome from onboarding, sensor delivery, app UI, activity classes, customer service, etc. Thanks!"
ApoorvSharma,Official site,What an amazing app experience and deep insights into how your body works. This truly goes out to show how each body is different and how nutrition can have an impact on us. Strongly recommend trying it at least once. Your life will never be the same!
AK_AK_AK,Official site,"This is a game-changer and has helped me understand multiple aspect of my metabolic health made me conscious about the way I eat and what I eat, also Ultrahuman team is super super responsive and helpful really loving the experience."
Rakannan,Official site,The concept of using CGM to guide your training and food plan is brilliant. The app is also very well laid out.
Nayanava,Official site,"This has to be the best device after Apple Watch which helps track the blood glucose levels, in turn helping maintain a healthy lifestyle by allowing me make the right food choices while staying away from the others. It has kind of become like a challenge to maintain blood glucose levels below 110 now throughout the day!! I have quit almost all foods that have added sugar."
Athif Hasan,Official site,"Ultrahuman M1 gave me a complete insight the impact every food has to my body. Did not follow any fancy diet, yet managed to educate myself around food, and built a sustainable & healthy lifestyle."
Ranger3010,Official site,Ultrahuman sensors are easy to wear and very effective in diet control. It helps me track my calorie intake and allows me to be in absolute control of my sugar! Highly recommended for people trying to control there sugar and maintain optimal body weight.
Srinath Rajam,Official site,"...is impossible without the ability to control oneâ€™s blood glucose levels. As a nutritionist and a cycling and fitness coach, I stress food as 80% impact on health and CGM is an indispensable tool to help every individual figure out foods to eat/ avoid and in the right quantitiesâ€¦ We all react differently to the same food so eliminating guesswork is an important aspect to overall metabolic health Keep up the great work UH, your supporting data is amazing."
Praneeth Pike,Official site,It’s super rare for me to write a review. And I’m writing this to appreciated that signing up for Ultrahuman is one of the best decisions I’ve made in 2022.The continuous monitoring of glucose levels combined with the insights has made my body feel much better in almost all aspects of my health. I also exercise much better portion control and food choices because of this.
Amar Salvi,Official site,"Understanding how your blood sugar spikes makes a huge difference in bringing it under control. I used to have my meds regularly thinking that my sugar is under control, checking it once in a while. Got the shock of my life recently when my Hb1AC went through the roof.Switching to Ultrahuman made a huge difference in bringing things under control in just two weeks, as I could adjust my meds and see how each intake and active was affecting sugar levels. Recommended!"
Manoj Adithya,Official site,"Love the app, essential for my daily life. Perfect. I should invest in Ultrahuman"
Rajiv Rai,Official site,It’s been a very awesome and most rewarding two weeks on ULTRAHUMAN. I have learnt so much about my own body and what is right and what I need to do to both reduce by HBA1C (which anyways was in the range) and more importantly to increase my metabolic score from high 79’s to over mid 80’s. I am now a much happier and healthy person in just two weeks.However I will not continue wearing one for next 4 months after which I will again get one and wear it for two weeks. So in my mind thrice a year I will wear it for 15 days at a time. I must have induced at least 20 persons to get it and all of them are thanking me for introducing a life changing device to them. This is an excellent wearable and I am ready to even invest in this start-up co of yours. Kudos to you guys.
Sudz328,Official site,"The app is brilliantly designed. Its easy to find the pieces of information you need. there’s so much you can learn through it and my lifestyle and diet have already improved thanks to Ultrahuman.For people who value their health, this is a remarkable product. Lastly the performance coaches are great andhelpful and super prompt."
War Of The Lords,Official site,"I had got this just for a trial basis but then it is so good, my whole family of six wear it. I love how the software is soo good in analysis and in giving knowledge on what’s going on in our body."
Ashish Kole,Official site,"For the past few years, I’ve been trying to understand how my body responds to food, especially sugar (and stuff made from molasses), which I seem to be unable to resist. The Ultrahuman app finally gave me a simple-to-understand view of what happens when I eat or drink almost immediately, when paired with the accompanying Continuous Glucose Monitor. Similarly, while the app has a provision to input what I’ve eaten, it has lots of integration with 3rd party food tracking apps such as MyFitnessPal, which I use to track my food intake. It takes inputs about my movement / exercise from 3rd party devices such as Apple Watch (which I use) or Garmin, Fitbit, Oura, Polar or even Google Fit.There’s a generous community of Ultrahuman users as well as Ultrahuman coaches and developers and who share insights, experiences, challenges and other hacks. All in all, it has been a journey of discovery as I discover new insights using this “lab in my arm”."
AsDelhi123,Official site,With this I get to know what food is having adverse effect on my sugar levels and which type of food keeps my sugar in range ! I have made 3 more family members buy it and we are all very grateful for this technology.
Aiken Crux 99,Official site,"Only if my body could talk and actually tell me what it needs. Or if my brain could interpret. Everyone will live longer and be happier. Ultrahuman fills that gap in the human evolutionary chain. What sets it apart from other CGMs is the high research and performance orientation, love for logic and an inspiring community that this brings. Other’s I have found to be too commercial. I wish this was more cost effective though but I do feel that the ultrahuman team is doing their best.Cant wait for the ring! Bonus - Probably the best health focused content library you will find (And I have been a subscriber to most others before :) All the best to the team"
MindMyWeb,Official site,With Ultrahuman I was able to identify small things I was doing wrong in my day to day life I used it to make a lifestyles program that is giving big results.
Laboosh1,Official site,I’m learning about how good effects my body every day. It doesn’t stop me eating some things I love that spike my insulin but at least I can see how other foods effect that spike.
Bhargav K,Official site,"Hey Cyborg Team, I got my hands on the Ultrahuman Cyborg device as a private beta user entry and trust me there has been no going back. The product is top-notch in tech and explains things unseeable by the human body.Looking forward to grow and learn more about my body with the product.Cheers, Bhargav Super Cyborg"
Mohith4590,Official site,"This app is absolutely essential if you are serious about your food intake. What you may think is good food, may not be best fit for your body and with the help of Ultrahuman you can see that quantified in numbers.The app is easy to use and the insights it provides is life changing. I’m very happy with the experience."
Pushpak (pd),Official site,The sensor and supporting app gives one amazing insight on how one’s body reacts to food intake and how best to manage health. Highly recommend the experience!
Piyk19,Official site,"Really happy with the initial usage of the app and sensor. Giving me very useful insights into my relationship with food, sleep and workouts !!"
Adilohyijnxr,Official site,The real-time feedback the platform gives us just stellar and super powerful
Abdulla0784,Official site,"Deep real time health insights, right from UX to product all perfect to the T!"
Kumar Sumit Gaurav,Official site,"Helped me immensely in knowing what triggers the sugar spike and what lowers it. The backend integration is superb and feedback mechanism is well integrated. Research and fitness module are spot on, helped me reduce weight by almost 6 kgs in just 20 days.A must for all fitness freak and calories caution people. Also good for diabetic people. Calibration did not take longer and it was up and running in 1 hour max. The team must do research for having this application directly sense sugar level."
Raj Thakur,Official site,"This is by far the best app for the insightful data analysis which helps you to track your metabolism, to add on a personal touch by the CEO on email for your motivation is a cherry on cake.The food score, workout fuel score etc are to the point and the interface of the app is brilliant, good job Team Ultrahuman ????"
ParentRaj,Official site,The app brings out some of the key insights required for managing blood glucose effectively. The nudges by the app and the related knowledge are a great features.The slack platform is quite good for learning and growing as a community. Some of the features are still evolving though.
Kanish Singh,FitCart,Best advanced glucose tracker. Ultrahuman Continuous Glucose Monitor has been a game-changer for me.
anuuj punjabi,Flipkart,"Unlocks a dashboard to your body. You're able to monitor your glucose levels from your phone. The goal is optimise your metabolic score that's out of 100. I've noticed when I keep my glucose levels stable, I feel much more energetic. A must buy for someone looking at understanding their food patterns."
Sharad K Upadhyay,Amazon,"Worked wonders. This is amazing. I am now in control of my glucose level, because I can see the levels and the app tells me what could have gone wrong and how can I improve it. This is a blessing ! Thank you."
Ashok A,Amazon,"I bought it and after the first reading when I tried to read the second time the patch started showing your blood sugar level as crashed with a reading of “51”. I was feeling well. Just to be doubly sure I checked my blood level with the pin prick accu. It showed 174. But not wanting to give up on the convenience of the mobile phone reading wanted to give Ultrahuman a fair chance. Also their WhatsApp support told me that usually such reading become good after a day or so. Tried for many hours and the next day, fully frustrated, removed it to send it back for refund. After many frustrating days of complaints with many people and satisfying them with proofs like photograph of the readings, etc. they refused to give the refund. TL;DR - Avoid UltraHuman. It is a big scam with people who are running the scam having no understanding of what customer service is."
